ID,RA,Dec,mag_r,True_Class,Prediction_Elliptical,Prediction_Spiral,predBin_Elliptical,predBin_Spiral,Train
SPLUS.STRIPE82-0004.10790.griz,0.9357,0.5748,16.99,Spiral,0.00082585216,0.90004814,0,1,0
SPLUS.STRIPE82-0004.13715.griz,1.1929,0.7017,16.86,Spiral,0.00055089593,0.9521695,0,1,0
SPLUS.STRIPE82-0004.20070.griz,1.8762,1.1677,16.4,Spiral,0.0010929108,0.9251015,0,1,0
SPLUS.STRIPE82-0004.21090.griz,1.5885,1.1189,16.96,Spiral,0.00049445033,0.9265367,0,1,0
SPLUS.STRIPE82-0004.21226.griz,0.8124,1.1007,16.72,Spiral,0.0004837215,0.9875834,0,1,0
SPLUS.STRIPE82-0004.21923.griz,0.8872,1.0805,16.03,Spiral,0.0005122721,0.9841745,0,1,0
SPLUS.STRIPE82-0004.22164.griz,0.9394,1.0447,16.04,Elliptical,0.12025261,0.9359976,0,1,0
SPLUS.STRIPE82-0004.22337.griz,0.8436,1.0579,14.92,Elliptical,0.99926627,0.0003619492,1,0,0
SPLUS.STRIPE82-0004.22895.griz,1.7909,1.0668,16.3,Spiral,0.0002555549,0.99475753,0,1,0
SPLUS.STRIPE82-0004.23096.griz,1.3414,1.0183,16.99,Spiral,0.029543668,0.97077334,0,1,0
SPLUS.STRIPE82-0004.24191.griz,1.2441,0.9621,15.74,Elliptical,0.9973227,0.0067953467,1,0,0
SPLUS.STRIPE82-0004.24338.griz,1.2833,0.9596,16.45,Spiral,7.510185e-05,0.98510456,0,1,0
SPLUS.STRIPE82-0004.24473.griz,1.2039,0.9512,15.35,Elliptical,0.99918854,0.0014449656,1,0,0
SPLUS.STRIPE82-0004.25053.griz,1.8625,0.9202,15.34,Elliptical,0.9990841,0.0015885532,1,0,0
SPLUS.STRIPE82-0004.25220.griz,0.8173,0.9149,16.84,Spiral,0.00095176697,0.9452156,0,1,0
SPLUS.STRIPE82-0004.25323.griz,1.1351,0.9088,16.44,Spiral,0.0012158453,0.7579502,0,1,0
SPLUS.STRIPE82-0004.25391.griz,1.8701,0.9017,16.61,Spiral,0.0042390227,0.9636284,0,1,0
SPLUS.STRIPE82-0004.25401.griz,1.7523,0.903,15.36,Elliptical,0.9997772,0.00039729476,1,0,0
SPLUS.STRIPE82-0004.26335.griz,0.9417,0.8549,16.48,Spiral,0.00094658136,0.81777084,0,1,0
SPLUS.STRIPE82-0004.26444.griz,1.9903,0.8483,16.65,Spiral,0.00030341744,0.9962995,0,1,0
SPLUS.STRIPE82-0004.26448.griz,1.1467,0.8486,16.26,Elliptical,0.00033453107,0.9963949,0,1,0
SPLUS.STRIPE82-0004.26651.griz,1.8218,0.8386,16.94,Spiral,0.0008097887,0.89847505,0,1,0
SPLUS.STRIPE82-0004.27644.griz,1.8662,0.7853,15.73,Spiral,0.0003168583,0.8224559,0,1,0
SPLUS.STRIPE82-0004.28406.griz,1.0941,0.728,16.55,Spiral,0.0006210208,0.82153124,0,1,0
SPLUS.STRIPE82-0005.01851.griz,2.8805,-1.2399,15.01,Elliptical,0.9999851,2.4139881e-05,1,0,0
SPLUS.STRIPE82-0005.02063.griz,2.8266,-1.2429,15.96,Spiral,0.00026088953,0.9204376,0,1,0
SPLUS.STRIPE82-0005.02676.griz,2.3863,-1.2061,16.11,Spiral,0.00070261955,0.73860604,0,1,0
SPLUS.STRIPE82-0005.03163.griz,3.068,-1.169,16.66,Spiral,0.000598371,0.9303907,0,1,0
SPLUS.STRIPE82-0005.03263.griz,2.4684,-1.1499,16.47,Spiral,0.0010185242,0.8970041,0,1,0
SPLUS.STRIPE82-0005.03403.griz,2.9227,-1.1604,16.39,Spiral,0.0003158152,0.944533,0,1,0
SPLUS.STRIPE82-0005.03646.griz,3.3825,-1.1471,16.26,Spiral,0.0007017553,0.8586319,0,1,0
SPLUS.STRIPE82-0005.04725.griz,2.523,-1.0945,16.31,Spiral,0.00085031986,0.92717296,0,1,0
SPLUS.STRIPE82-0005.04909.griz,2.1972,-1.0831,16.51,Elliptical,0.99935937,0.00042515993,1,0,0
SPLUS.STRIPE82-0005.06385.griz,3.2868,-1.0002,15.56,Spiral,0.00030180812,0.7530783,0,1,0
SPLUS.STRIPE82-0005.06448.griz,3.0125,-1.0072,16.89,Spiral,0.00071778893,0.90676606,0,1,0
SPLUS.STRIPE82-0005.07916.griz,2.0625,-0.9326,16.74,Spiral,0.0020302832,0.7735456,0,1,0
SPLUS.STRIPE82-0005.08078.griz,2.6593,-0.9247,16.47,Elliptical,0.91033137,0.30832207,1,0,0
